ID,sq,sr,en
7.1,Filantropi,Filantropija,Philanthropy
7.2,Zhvillim i qëndrueshëm,Održivi razvoj,Sustainable Development
7.3,Dhënie të fondeve,Prikupljanje sredstava,Granting
7.4,Arsim,Obrazovanje,Education
7.5,Rini,Mladi,Youth
7.6,Të drejta të njeriut,Ljudska prava,Human Rights
7.7,Avokim,Zastupanje,Advocacy
7.8,Ngritje e kapaciteteve,Izgradnja kapaciteta,Capacity building
7.9,Promovimi i të drejtave të njeriut,Promocija ljudskih prava,Human Rights Promotion
7.10,Kulturë,Kultura,Kulturë - Culture
7.11,Flora dhe fauna,Flora i fauna,Wildlife Management
7.12,Ndihmë personave me nevoja të veçanta,Pomoć ljudima sa posebnim potrebama,Aid to  Special Needs Persons
7.13,Përfshirje sociale,Socijalna uključenost,Social Inclusion
7.14,Bujqësi,Poljoprivreda,Agriculture
7.15,Ndihmë humanitare,Humanitarna pomoć,Humanitarian Aid
7.16,Demokratizim,Demokratizacija,Democratization
7.17,Sport,Sport,Sport
7.18,Zhvillim ekonomik,Ekonomski razvoj,Economic Development
7.19,Rrobaqepësi,Krojenje,Tailoring
7.20,Shoqatë profesionale e ujërave,Udruženje profesionalnih voda,Waterworks Professional Association
7.21,Barazi gjinore,Rodna ravnopravnost,Gender Equality
7.22,Shëndetësi,Zdravstvo,Healthcare
7.23,Hulumtime dhe analiza,Istraživanje i analiza,Research and Analysis
7.24,Ndihmë sociale,Socijalna pomoć,Social Assistance
7.25,Shoqatë profesionale shëndetësore,Stručno zdravstveno udruženje,Healthcare Professional Association
7.26,Shoqatë e mediave,Udruženje medija,Media Association
7.27,Marrëdhënie ndër-etnike,Međuetnički odnosi,Inter-Ethnic Relations
7.28,Trashëgimi kulturore,Kulturno nasleđe,Cultural Heritage
7.29,Aktivizëm qytetar,Građanski aktivizam,Civic Activism
7.30,Shoqatë profesionale,Profesionalna asocijacija,Professional Association
7.31,Zhvillim rural,Ruralni razvoj,Rural Development
7.32,Përkrahje OJQ-ve të grave,Podržati ženske nevladine organizacije,Support to Women NGO’s
7.33,Punësim,Zapošljavanje,Employment
7.34,Sundim i ligjit,Vladavina prava,Rule of Law
7.35,Turizëm,Turizam,Tourism
7.36,Teknologji informative,Informacione tehnologije,Information Technology
7.37,Mjedis,Životna sredina,Environment
7.38,Të drejta të pakicave,Prava manjina,Minority Rights
7.39,Arsim jo-formal,Neformalno obrazovanje,Non-formal Education
7.40,Reciklim,Reciklaža,Recycling
7.41,Vullnetarizëm,Volonterski,Volunteering
9.1.,Fshati/qyteza specifike,Specifično selo/gradić,Specific village/town
9.2.,Komuna specifike,Specifična opština,Specific municipality
9.3.,2 ose më shumë komuna,2 ili više opština,2 or more municipalities
9.4.,Një institucion i pavarur,Jedna nezavisna institucija,One independent institution
9.5.,Disa institucione të pavarura,Nekoliko nezavisnih institucija,A number of independent institutions
9.6.,Një ministri/departament i ministrisë/agjenci qeveritare,Jedno ministarstvo/odelenje ministarstva/vladina agencija,One ministry/department of the ministry/government agency
9.7.,2-3 ministri,2-3ministarstava,2-3 ministries
9.8.,Qeveria,Vlada,Government
9.9.,Kuvendi i Kosovës,Skupština Kosova,Assembly of Kosovo
9.10.,Tjetër,Drugo,Other
14.1.,Shoqatë (organizatë e anëtarësisë),Udruženje (članska organizacija),Association (membership-based organization)
14.2.,Fondacion (organizatë pa anëtarësi),Fondacija (organizacija bez članstva),Foundation (an organization without membership)
15.1.,Po,Da,Yes
15.2.,Jo,Ne,No
18.1.,Kuvendi i anëtarëve,Skupština članova,Members Assembly
18.2.,Bordi,Upravni odbor,Board
18.3.,Drejtori/drejtoresha e organizatës,Direktor / direktorica organizacije,Director of the organization
18.4.,Tjetër,Drugo,Other
22.1.1.,Tatimin në të ardhura personale,Porez na lični dohodak,Personal Income Tax
22.2.1.,Kontributin pensional të punëtorëve,Penzioni doprinos zaposlenih,Pension contributions for employees
22.3.1.,Tatimin në qera/pronë,Porez na iznajmljivanje / imovinu,Rent/property tax
22.4.1.,Tatimin në të ardhura të korporatave/Tatimin në fitim,Porez na korporativni dohodak / porez na dobit,Corporate Income Tax/Profit Tax
22.5.1.,Tatimin në vlerën e shtuar (TVSH),Porez na dodatu vrednost (PDV),Value Added Tax (VAT)
22.6.1.,Sigurimin shëndetësor të punëtorëve,Zdravstveno osiguranje radnika,Health insurance for employees
22.7.1,Tjetër,Drugo,Other
23.1.,"Po, raportojmë rregullisht","Da, redovno izveštavamo ","Yes, we report regularly"
23.2.,"Jo, nuk raportojmë rregullisht","Ne, ne  izveštavamo redovno ","No, we do not report regularly"
23.3.,"Jo, nuk raportojmë asnjëherë","Ne, nikada ne izveštavamo ","No, we never report"
23.99.,Refuzoj të përgjigjem,Odbijam da odgovorim,Refuse to answer
32.1.1.,I lartë,Visok,High
32.1.2.,Mesatar,Prosečan,Medium
32.1.3.,I ulët,Nizak,Low
32.2.1.,I lartë,Visok,High
32.2.2.,Mesatar,Prosečan,Medium
32.2.3.,I ulët,Nizak,Low
32.3.1.,I lartë,Visok,High
32.3.2.,Mesatar,Prosečan,Medium
32.3.3.,I ulët,Nizak,Low
32.4.1.,I lartë,Visok,High
32.4.2.,Mesatar,Prosečan,Medium
32.4.3.,I ulët,Nizak,Low
32.5.1.,I lartë,Visok,High
32.5.2.,Mesatar,Prosečan,Medium
32.5.3.,I ulët,Nizak,Low
32.6.1.,I lartë,Visok,High
32.6.2.,Mesatar,Prosečan,Medium
32.6.3.,I ulët,Nizak,Low
32.7.1.,I lartë,Visok,High
32.7.2.,Mesatar,Prosečan,Medium
32.7.3.,I ulët,Nizak,Low
33.1.,Jo më shumë se 1 vit,Ne duže od godinu dana,Not more than 1 year
33.2.,2 vite,2 godine,2 years
33.3.,3-5 vite,3-5 godina,3-5 years
33.4.,Më shumë se 5 vite,Duže od 5 godina,More than 5 years
34.1.,Shumë i përgatitur profesionalisht për fushën dhe punën përkatëse,Profesionalno vrlo pripremljeno za relevantnu oblast i rad,Highly prepared professionally for the field and related work
34.2.,Mesatarisht i përgatitur profesionalisht për fushën dhe punën përkatëse,Profesionalno prosečno pripremljeno za relevantnu oblast i rad,Averagely prepared professionally for the field and related work
34.3.,I papërgatitur profesionalisht për fushën dhe punën përkatëse,Profesionalno nepripremljeno za relevantnu oblast i rad,Unprepared professionally for the field and related work
43.1.,Po,Da,Yes
43.2.,Jo,Ne,No
58.1.,Po,Da,Yes
58.2.,Jo,Ne,No
64.1.,Për periudhë më të shkurtër se 6 muaj,Za period kraći od 6 meseci,For a period shorter than 6 months
64.2.,Për periudhë në mes të 6 dhe 12 muaj,Za period između 6 i 12 meseci,For a period between 6 and 12 months
64.3.,Për periudhë në mes të 12 dhe 24 muaj,Za  period između 12 i 24 meseci,For a period between 12 and 24 months
64.4.,Për periudhë në mes të 24 dhe 36 muaj,Za  periodu između 24 i 36 meseci,For a period between 24 and 36 months
64.5.,Për periudhë më të gjatë se 36 muaj,Za period duži  od 36 meseci,1.       For a period longer than 36 months
65.1.,Po,Da,Yes
65.2.,Jo,Ne,No
67.1.,0 EUR në vit,0 evra godišnje,0€ per year
67.2.,"Më pak se 10,000 EUR në vit","Manje  10,000 evra  godišnje","Less than € 10,000 per year"
67.3.,"10,001 – 25,000 EUR në vit","10,001 – 25,000 evra  godišnje","€ 10,001 - € 25,000 per year"
67.4.,"25,001 – 50,000EUR ne vit","25,001 – 50,000 evra  godišnje","€ 25,001 - € 50,000 per year"
67.5.,"50,001 – 100,000 EUR në vit","50,001 – 100,000 evra  godišnje","€ 50,001 - € 100,000 per year"
67.6.,"100,001 – 500,000 EUR në vit","100,001 – 500,000 evra  godišnje","€ 100,001 - € 500,000 per year"
67.7.,"500,001 – 1,000,000 EUR në vit","500,001 – 1,000,000 evra  godišnje","€ 500,001 - € 1,000,000 per year"
67.8.,"1,000,001 EUR – 2,000,0000 në vit","1,000,001 – 2,000,0000 evra  godišnje","€ 1,000,001 - € 2,000,000 per year"
67.9.,"2,000,0001 – 4,000,000 EUR në vit","2,000,0001 – 4,000,000 evra  godišnje","€ 2,000,001 - € 4,000,000 per year"
67.10.,"Mbi 4,000,000EUR në vit","Preko  4,000,000 evra godišnje","Over € 4,000,000 per year"
67.99.,Refuzoj të përgjigjem,Odbijam da odgovorim,Refuse to answer
68.1.,Janë rritur,Povećali su se,Increased
68.2.,Nuk kanë ndryshuar,Nisu se promenili,Have not changed
68.3.,Janë zvogëluar,Smanjili su se,Decreased
68.99.,Nuk aplikohet,Ne primenjuju se,Does not apply
69.1.1.,Grante për projekte,Grantove za projekte,Grants for projects
69.2.1.,Grante institucionale,Institucionalne grantove,Institutional grants
69.3.1.,Kontrata për shërbime,Ugovor za pružanje usluga,Service contracts
69.4.1.,Asistencë teknike,Tehničku pomoć,Technical assistance
69.5.1.,Tjetër,Ostalo,Other
74.1.,Po,Da,Yes
74.2.,"Jo, sepse nuk kemi aplikuar ","Ne, jer nismo podneli zahtev  ","No, because we have not applied "
74.3.,"Jo, edhe pse kemi aplikuar ","Ne, iako smo podneli zahtev  ","No, although we have applied "
78.1.,Po,Da,Yes
78.2.,"Jo, sepse nuk kemi aplikuar","Ne, jer nismo aplicirali ","No, because we have not applied "
78.3.,"Jo, edhe pse kemi aplikuar","Ne, iako smo aplicirali ","No, although we have applied "
94.1.1.,"Shitje të shërbimeve (ku  përfituesi/klienti paguan për shërbimin, p.sh. shërbime hulumtimi, shërbime të vlerësimit, trajnime për biznes plane/projekt propozime, dhënien e zyrave me qera, dhënien e pajisjeve me qera, etj.)","Prodaja usluga (gde korisnik / klijent plaća za uslugu, odnosno usluge istraživanja, usluge procene, obuke za poslovne planove / nacrte predloge, izdavanje kancelarija pod zakup , davanje  opreme pod zakup  itd) ","Sale of services (where the beneficiary/client pays for services, e.g. Research services, evaluation services, training for business plans/project proposals, renting offices, provision of equipment by rent, etc.)"
94.2.1.,Shitje të produkteve që i prodhon organizata juaj,Prodaja proizvoda koje proizvodi vaša organizacija,Sale of products your organization produces
94.3.1.,"Jo, organizata jonë nuk kryen asnjë aktivitet ekonomik","Ne, naša organizacija ne obavlja neku privrednu aktivnost ","No, our organization does not carry any economic activity"
96.1.,Po,Da,Yes
96.2.,Jo,Ne,No
97.1.,Nga donatorët me të cilët bashkëpunojmë rregullisht,Od donatora sa kojima redovno sarađujemo,From donors we regularly cooperate with
97.2.,Nga donatorët me të cilët bashkëpunojmë rregullisht dhe nga ata me të cilët zakonisht nuk kemi bashkëpunim,Od donatora sa kojima redovno sarađujemo i od onih sa kojima obično ne sarađujemo,From donors we regularly cooperate with and from those we usually do not have cooperation with
97.3.,Nga donatorët me të cilët nuk bashkëpunojmë,Od donatora sa kojima ne sarađujemo,From donors we do not cooperate with
102.1.,Asnjëherë,Nikada,Never
102.2.,Rrallë,Retko,Rarely
102.3.,Shpesh,Često,Frequently
102.4.,Rregullisht,Redovno,Regularly
103.1.1.,"Po, shpesh","Da, često","Yes, often"
103.1.2.,"Po, nganjëherë","Da, ponekad ","Yes, sometimes"
103.1.3.,"Jo, nuk komunikojmë","Ne , ne komuniciramo ","No, never"
103.2.1.,"Po, shpesh","Da, često","Yes, often"
103.2.2.,"Po, nganjëherë","Da, ponekad ","Yes, sometimes"
103.2.3.,"Jo, nuk komunikojmë","Ne , ne komuniciramo ","No, never"
103.3.1.,"Po, shpesh","Da, često","Yes, often"
103.3.2.,"Po, nganjëherë","Da, ponekad ","Yes, sometimes"
103.3.3.,"Jo, nuk komunikojmë","Ne , ne komuniciramo ","No, never"
104.1.,Aspak,Nimalo,Not at all
104.2.,Pak,Malo,A little
104.3.,Mjaftueshëm,Dovoljno,Sufficiently
104.4.,Shumë,Mnogo,Extensively
105.1.,Po,Da,Yes
105.2.,Jo,Ne,No
106.1.,I keni marrë të dhënat/informatat brenda afatit të paraparë kohor (7 ditë),Dobili su podatke / informacije u propisanom roku (7 dana),You received the data/information within the time limit prescribed (7 days)
106.2.,I keni marrë të dhënat/informatat me vonesë,Dobili ste podatke / informacije sa zakašnjenjem,You received data/information belatedly
106.3.,Kërkesa juaj është refuzuar me arsyetim dhe mundësi për ankesë,Vaš zahtev je odbijen sa obrazloženjem i mogućnošću žalbe,Your request was denied with reasoning and possibility to complain
106.4.,Kërkesa juaj është refuzuar pa arsyetim dhe mundësi për ankesë,Vaš zahtev je odbijen bez obrazloženja i mogućnosti za žalbu,Your request was denied without reasoning nor possibility to complain
106.5.,Nuk keni marrë asnjë përgjigje,Niste dobili nikakav odgovor,You received no answer
106.6.,Tjetër,Ostalo,Other
108.1.,Po,Da,Yes
108.2.,Jo,Ne,No
111.1.,Nuk ka fare ndikim,Uopšte nema uticaja,No impact at all
111.2.,Ka ndikim të kufizuar,Ima ograničen uticaj,Limited impact
111.3.,Ka ndikim mesatar,Ima  umeren uticaj,Average impact
111.4.,Ka nivel të lartë të ndikimit,Ima visok stepen uticaja,High impact
111.88.,Nuk e di,Ne znam,I do not know
112.1.,"Po, jemi ftuar rregullisht, sa herë që ka pasur çështje që ndërlidhen me punën tonë","Da, mi smo redovno pozivani kad god je bilo pitanja koja su u vezi sa našim radom","Yes, we have regularly been invited, whenever there was a related issue with our work"
112.2.,"Po, jemi ftuar vetëm kohë pas kohe","Da, pozivani smo samo povremeno ","Yes, we have been invited from to time"
112.3.,"Po, por jemi ftuar shumë rrallë","Da, ali smo  pozivani veoma retko","Yeas, but very rarely "
112.4.,"Jo, nuk jemi ftuar asnjëherë ","Ne, ne nikada nismo pozivani","No, we have never been invited "
113.1.1.,"Jemi konsultuar në fazë fillestare, në fillim të procesit të hartimit të legjislacionit/politikës","Konsultovali smo ss početne faze, na početku procesa izrade zakona / politike ",We were consulted at the initial stage of the process of drafting a legislation/policy
113.1.4.,"Jemi konsultuar në fazë fillestare, në fillim të procesit të hartimit të legjislacionit/politikës","Konsultovali smo ss početne faze, na početku procesa izrade zakona / politike ",We were consulted at the initial stage of the process of drafting a legislation/policy
113.2.1.,Na janë ofruar informata të mjaftueshme në lidhje me përmbajtjen e dokumenteve,Obezbedili smo dovoljno informacija o sadržaju dokumenata,We were provided with sufficient information related to the content of documen
113.2.2.,Na janë ofruar informata të mjaftueshme në lidhje me përmbajtjen e dokumenteve,Obezbedili smo dovoljno informacija o sadržaju dokumenata,We were provided with sufficient information related to the content of documen
113.2.4.,Na janë ofruar informata të mjaftueshme në lidhje me përmbajtjen e dokumenteve,Obezbedili smo dovoljno informacija o sadržaju dokumenata,We were provided with sufficient information related to the content of documen
113.3.1.,Na është lejuar mjaftueshëm kohë të përgjigjemi (15-20 ditë pune),Omogućeno nam je dovoljno vremena da odgovorimo (15-20 radnih dana),We were given enough time to reply (15-20 working days)
113.3.2.,Na është lejuar mjaftueshëm kohë të përgjigjemi (15-20 ditë pune),Omogućeno nam je dovoljno vremena da odgovorimo (15-20 radnih dana),We were given enough time to reply (15-20 working days)
113.4.1.,Shërbyesit përgjegjës civil kanë qenë të trajnuar dhe kanë ofruar/dhënë informata dhe këshilla të dobishme gjatë konsultimeve,Odgovorni državni službenici su bili obučeni i pružili su  / dali su  korisne informacije i savete  tokom konsultacija,Responsible civil servants were trained and offered useful information and advice throughout consultations
113.4.2.,Shërbyesit përgjegjës civil kanë qenë të trajnuar dhe kanë ofruar/dhënë informata dhe këshilla të dobishme gjatë konsultimeve,Odgovorni državni službenici su bili obučeni i pružili su  / dali su  korisne informacije i savete  tokom konsultacija,Responsible civil servants were trained and offered useful information and advice throughout consultations
114.1.,Pranuar plotësisht,Prihvačeni u potpunosti,Fully accepted
114.2.,Pranuar pjesërisht,Delimično prihvaćeni,Partly accepted
114.3.,Nuk janë pranuar,Nisu prihvačeni,Not accepted
114.4.,Nuk keni komentuar në iniciativën ligjore/të politikës,Niste komentarisali zakonsku  inicijativu politiku,Did not comment on the legal initiation/policy
114.88.,Nuk e di,Ne znam,Do not know
119.1.1.,Nuk ka fare ndikim,Nema uopšte uticaja,No impact
119.1.2.,Ka ndikim të kufizuar,Ima ograničeni uticaj,Limited impact
119.1.3.,Ka ndikim mesatar,Ima prosečan uticaj,Average impact
119.1.4.,Ka ndikim të lartë,Ima veliki uticaj,High impact
119.1.5.,Nuk e di,Ne znam,Do not know
119.2.1.,Nuk ka fare ndikim,Nema uopšte uticaja,No impact
119.2.2.,Ka ndikim të kufizuar,Ima ograničeni uticaj,Limited impact
119.2.3.,Ka ndikim mesatar,Ima prosečan uticaj,Average impact
119.2.4.,Ka ndikim të lartë,Ima veliki uticaj,High impact
119.2.5.,Nuk e di,Ne znam,Do not know
119.3.1.,Nuk ka fare ndikim,Nema uopšte uticaja,No impact
119.3.2.,Ka ndikim të kufizuar,Ima ograničeni uticaj,Limited impact
119.3.3.,Ka ndikim mesatar,Ima prosečan uticaj,Average impact
119.3.4.,Ka ndikim të lartë,Ima veliki uticaj,High impact
119.3.5.,Nuk e di,Ne znam,Do not know
121.1.,Nuk ka fare ndikim,Nema uopšte uticaja,No impact
121.2.,Ka ndikim të kufizuar,Ima ograničeni uticaj,Limited impact
121.3.,Ka ndikim mesatar,Ima prosečan uticaj,Average impact
121.4.,Ka ndikim të lartë,Ima veliki uticaj,High impact
121.88.,Nuk e di,Ne znam,Do not know
124.1.,E pengon plotësisht zhvillimin e shoqërisë civile,U potpunosti  sprečava razvoj civilnog društva,It fully prevents the development of civil society
124.2.,E pengon pjesërisht zhvillimin e shoqërisë civile,Sprečava delimično razvoj civilnog društva,It partly prevents the development of civil society
124.3.,Nuk ndikon fare në zhvillimin e shoqërisë civile,Nema nikakav uticaj na razvoj civilnog društva,It does not have any impact on the development of civil society
124.4.,E ndihmon pjesërisht zhvillimin e shoqërisë civile,Pomaže djelimično razvoj civilnog društva,It partly assists the development of civil society
124.5.,E ndihmon plotësisht zhvillimin e shoqërisë civile,Pomaže potpuno  razvoj civilnog društva,It fully assists the development of civil society
126.1.,Pozitiv,Pozitivno,Positive
126.2.,Mesatar(deri diku pozitiv/deri diku negativ),Srednja (donekale pozitivna/ donekle negativna),Average (to some extent positive/to some extent negative)
126.3.,Negativ,Negativna,Negative
126.88.,Nuk e di,Ne znam,Do not know